Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,Latitude,Longitude
2015,1,611393,611393,Northbank Place East Tower,507-541 Flinders Street ,Melbourne (CBD),2009,,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.82088351, 144.957229905
2015,1,611394,611394,Northbank Place Central Tower,545-557 Flinders Street ,Melbourne (CBD),2009,,16,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,42,,-37.8209939689, 144.956518458
2015,1,611395,611395,Northbank Place West Tower,561-581 Flinders Street ,Melbourne (CBD),2009,,18,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.821131263, 144.955864933
2015,1,611396,611396,Batman Park,2A Spencer Street,Melbourne (CBD),,,2,Transport,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,-37.8217851354, 144.956612997
2015,1,108843,108843,Rebecca Walk,2-92 Rebecca Walk,Melbourne (CBD),1980,1996,1,Unoccupied - Unused,Not determined or not applicable,Access has not been rated,0,0,,-37.8213142043, 144.956396892
2015,2,103973,103973,Enterprize Park,469-503 Flinders Street ,Melbourne (CBD),,,1,Equipment Installation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,-37.8204727985, 144.958989544
2015,2,111467,103973,Melbourne Aquarium, King Street ,Melbourne (CBD),1999,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1,-37.8204727985, 144.958989544
2015,4,103972,103972,Banana Alley Vaults No. 1 - 19,363-397 Flinders Street ,Melbourne (CBD),1900,1990,1,Entertainment/Recreation - Indoor,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1,-37.8195316288, 144.962286802
2015,4,104034,104034,Flinders Street Station,207-361 Flinders Street ,Melbourne (CBD),1910,,5,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1,-37.8186610515, 144.96546591
2015,4,608352,608352,Northbank                                         , Flinders Walk ,Melbourne (CBD),,2010,2,Public Display Area,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,-37.8192153566, 144.965183134
