Count,Office,Retail - Shop,Student Accommodation,Residential Apartment,Transport
3190.333333,44,21,0,27,0
1586.666667,163,2,0,49,1
654,68,2,0,77,1
2233.333333,88,13,0,24,0
2863.666667,17,54,0,11,0
3529,21,56,0,2,0
1278.333333,38,2,0,0,1
2488,10,4,15,12,0
1678.666667,10,4,15,12,0
1068.333333,17,0,0,0,0
583.333333,9,0,0,77,0
383.666667,0,1,0,53,0
226.666667,1,0,0,0,0
571.666667,0,0,0,0,0
793,0,0,0,0,0
1577.5,0,0,0,0,0
1970.5,5,0,0,0,0
598.5,7,0,0,0,0
1220,0,11,8,85,0
2230.5,42,0,0,28,0
1038.5,18,0,0,28,0
892.5,0,0,0,0,0
1430.5,8,19,0,4,0
680.5,25,14,0,17,0
1104,36,44,0,6,0
2533.5,27,19,0,27,0
208,4,8,0,8,0
1296.5,0,0,0,0,0
374.5,11,12,2,6,0
1060.5,49,14,0,44,0
373.5,35,0,0,30,0
312.5,40,0,0,30,0
914,144,0,0,0,0
4205.5,14,5,14,15,0
373.5,12,12,0,6,0
1013,15,0,22,18,0
937,178,4,0,14,0
726,0,0,0,0,0
1889,34,0,0,21,0
458.5,4,0,6,3,0
420.5,2,0,15,0,0
214.5,0,0,3,4,0
2751,15,0,0,0,0
